listing_url,listing_type,scraped_at,price
https://www.sahibinden.com/ilan/emlak-konut-satilik-pozitiften-sarissa-3-plus1-ici-yapili-bos-oturuma-hazir-13.150.000tl-1298850896/detay,satilik,2026-05-26T18:08:29.187202,
https://www.sahibinden.com/ilan/emlak-konut-satilik-ana-cadde-uzeri-site-ici-esyali-1-plus0-yuksek-kira-getirili-daire-1279382226/detay,satilik,2026-05-26T18:08:29.189204,
https://www.sahibinden.com/ilan/emlak-konut-satilik-cakmak-emlak-tan-altintepe-de-yeni-binada-katta-2-plus1-daire-1291495656/detay,satilik,2026-05-26T18:08:29.191394,
https://www.sahibinden.com/ilan/emlak-konut-satilik-diba-dan-bayram-oncesi-firsati-oturuma-hazir-3-plus1-ara-kat-1317648333/detay,satilik,2026-05-26T18:08:29.193082,
https://www.sahibinden.com/ilan/emlak-konut-satilik-eksioglu-mahallesinde-topraktan-firsat-daireler-1302100577/detay,satilik,2026-05-26T18:08:29.194556,
https://www.sahibinden.com/ilan/emlak-konut-satilik-beylikduzu-a.kahv.kolejler-bolgesi-kisa-katli-havuzlu-butik-site-1300256727/detay,satilik,2026-05-26T18:08:29.195874,
https://www.sahibinden.com/ilan/emlak-konut-satilik-kartal-cevizli-de___genc-binada__2-plus1-satilik-daire-1318802173/detay,satilik,2026-05-26T18:08:29.197870,
https://www.sahibinden.com/ilan/emlak-konut-satilik-guvener-mimarlik-tan-sik-ve-mimari-tasarimli-site-ici-2-plus1-daire-1301347924/detay,satilik,2026-05-26T18:08:29.199457,
https://www.sahibinden.com/ilan/emlak-konut-satilik-guvener-mimarlik-tan-metrobuse-yakin-site-ici-ultra-luks-daire-1301341845/detay,satilik,2026-05-26T18:08:29.200823,
https://www.sahibinden.com/ilan/emlak-konut-satilik-guvener-mimarlik-tan-guvenlikli-site-icinde-1-plus1-satilik-daire-1301305018/detay,satilik,2026-05-26T18:08:29.203047,
https://www.sahibinden.com/ilan/emlak-konut-satilik-bagdat-cadde-cepheli-tabela-degeri-yuksek-prestijli-klinik-ofis-1317067796/detay,satilik,2026-05-26T18:08:29.205007,
https://www.sahibinden.com/ilan/emlak-konut-satilik-ravel-yapi-butik-site-de-havuzlu-4-plus2-luks-dubleks-daire-1307162383/detay,satilik,2026-05-26T18:08:29.206558,
https://www.sahibinden.com/ilan/emlak-konut-satilik-kartaltepe-de-satilik-2-plus1-cati-kati-daire-92m2yerden-isitmali-1318795770/detay,satilik,2026-05-26T18:08:29.208738,
https://www.sahibinden.com/ilan/emlak-konut-satilik-narli-bahce-cok-iyi-konumda-buyuk-balkonlu-3-plus-1-48-ay-vadeli-1304597527/detay,satilik,2026-05-26T18:08:29.210268,
https://www.sahibinden.com/ilan/emlak-konut-satilik-beylikduzu-ata-dan-cumhuriyet-mah-site-ici-plus-guvenlik-2-plus1-daire-1297324769/detay,satilik,2026-05-26T18:08:29.211813,
https://www.sahibinden.com/ilan/emlak-konut-satilik-mabeyn-yapi-dan-satilik-havuzlu-guvenlikli-site-ici-luks-daire-1233099550/detay,satilik,2026-05-26T18:08:29.214158,
