listing_id,listing_type,district,neighbourhood,price,GrossSquareMeters,NetSquareMeters,price_per_m2,rooms,halls,total_rooms,floor,floor_category,total_floors,building_age,building_type,building_condition,heating_type,fuel_type,bathroom_count,furnished,usage_status,is_in_complex,complex_name,maintenance_fee,orientation,credit_eligible,deed_status,exchange,last_updated,scraped_at,sub_district
160688-74,satilik,Maltepe,İdealtepe,8450000,135,110,62592.59259259259,3,1,4,2,NA,4,26,NA,NA,Combi Boiler,NA,2,Unfurnished,Vacant,FALSE,NA,500,"South, East, West",Eligible,Condominium Title,No,NA,2026-03-17T13:20:38Z,İdealtepe
156328-258,satilik,Maltepe,Bağlarbaşı,7800000,100,79,78000,3,1,4,4,NA,4,20,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,1,Unfurnished,Vacant,FALSE,NA,400,"North, South, East, West",Eligible,Construction Easement,No,NA,2026-03-17T13:20:46Z,Bağlarbaşı
162835-23,satilik,Maltepe,Küçükyalı,8250000,90,75,91666.66666666667,2,1,3,1,NA,4,1,NA,NA,Combi Boiler,NA,1,Unfurnished,Vacant,FALSE,NA,NA,East,Eligible,Construction Easement,No,NA,2026-03-17T13:20:55Z,Küçükyalı
128786-1555,satilik,Maltepe,Küçükyalı,10600000,100,80,106000,2,1,3,4,NA,5,2,NA,NA,Combi Boiler,NA,1,Unfurnished,Owner-occupied,FALSE,NA,NA,"South, East, West",Eligible,Condominium Title,No,NA,2026-03-17T13:21:17Z,Küçükyalı
58790-430,satilik,Maltepe,Altıntepe,11650000,130,120,89615.38461538461,3,1,4,2,NA,4,26,NA,NA,Combi Boiler,NA,2,Unfurnished,Vacant,FALSE,NA,NA,"South, East, West",Eligible,Condominium Title,No,NA,2026-03-17T13:21:27Z,Altıntepe
66056-10660,satilik,Maltepe,Çınar,17250000,175,150,98571.42857142857,4,1,5,4,NA,4,0,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,2,Unfurnished,Vacant,FALSE,NA,NA,NA,Eligible,Condominium Title,No,NA,2026-03-17T13:21:36Z,Çınar
88286-3829,satilik,Maltepe,Altıntepe,8000000,80,70,100000,2,1,3,0,Entrance Floor,4,0,NA,NA,Combi Boiler,NA,1,Unfurnished,Vacant,FALSE,NA,NA,South,Eligible,Condominium Title,No,NA,2026-03-17T13:21:46Z,Altıntepe
35057-1541,satilik,Maltepe,Bağlarbaşı,13750000,170,140,80882.35294117648,3,2,5,5,NA,5,0,NA,NA,Combi Boiler,NA,2,Unfurnished,Vacant,FALSE,NA,500,NA,Eligible,Construction Easement,No,NA,2026-03-17T13:21:54Z,Bağlarbaşı
7204-27196,satilik,Maltepe,Çınar,9900000,120,100,82500,3,1,4,4,NA,4,6,NA,NA,Combi Boiler,NA,2,Unfurnished,Tenant-occupied,FALSE,NA,500,West,Eligible,Construction Easement,No,NA,2026-03-17T13:22:03Z,Çınar
3422-439,satilik,Maltepe,Yalı,12500000,100,91,125000,2,1,3,0,Entrance Floor,5,0,NA,NA,Underfloor Heating,NA,2,Unfurnished,Vacant,FALSE,NA,NA,NA,Not Eligible,Land Title,No,NA,2026-03-17T13:22:12Z,Yalı
46932-6386,satilik,Maltepe,Altıntepe,6600000,85,65,77647.05882352941,2,1,3,-1,Garden Floor,5,6,NA,NA,Combi Boiler,NA,1,Unfurnished,Owner-occupied,FALSE,NA,NA,"South, East",Eligible,Condominium Title,No,NA,2026-03-17T13:22:22Z,Altıntepe
166751-36,satilik,Maltepe,Küçükyalı,17000000,130,110,130769.23076923077,3,1,4,2,NA,4,0,NA,NA,Combi Boiler,NA,1,Unfurnished,Vacant,FALSE,NA,NA,South,Eligible,No Title Deed,No,NA,2026-03-17T13:22:30Z,Küçükyalı
