listing_id,listing_type,district,neighbourhood,price,GrossSquareMeters,NetSquareMeters,price_per_m2,rooms,halls,total_rooms,floor,floor_category,total_floors,building_age,building_type,building_condition,heating_type,fuel_type,bathroom_count,furnished,usage_status,is_in_complex,complex_name,maintenance_fee,orientation,credit_eligible,deed_status,exchange,last_updated,scraped_at
166894-15,satilik,Pendik,Esenler,6000000,85.0,67.0,70588.23529411765,2,1,3,7.0,,9.0,0,,,Central (Metered),,1.0,Unfurnished,Vacant,True,,,"South, East, West",Eligible,Construction Easement,Yes,,2026-03-17 13:53:37
0-46174940,satilik,Pendik,Kaynarca,7100000,95.0,80.0,74736.84210526316,2,1,3,6.0,,7.0,12,Reinforced Concrete,Second-hand,Central (Metered),Natural Gas,1.0,Unfurnished,Vacant,False,,1500.0,,Eligible,Condominium Title,No,,2026-03-17 13:53:45
161261-325,satilik,Pendik,Velibaba,5100000,90.0,70.0,56666.666666666664,2,1,3,0.0,Raised Ground,4.0,6,,,Combi Boiler,,1.0,Unfurnished,Owner-occupied,False,,,"North, South, West",Eligible,Condominium Title,No,,2026-03-17 13:53:57
166554-26,satilik,Pendik,Sülüntepe,6290000,80.0,65.0,78625.0,2,1,3,4.0,,9.0,4,,,Central (Metered),,1.0,Unfurnished,Vacant,True,,,South,Eligible,Condominium Title,No,,2026-03-17 13:54:06
166191-17,satilik,Pendik,Dumlupınar,7750000,120.0,100.0,64583.333333333336,3,1,4,-1.0,Garden Floor,5.0,5,,,Combi Boiler,,2.0,Unfurnished,Vacant,False,,800.0,South,Not Eligible,Condominium Title,No,,2026-03-17 13:54:15
165620-12,satilik,Pendik,Velibaba,8500000,150.0,95.0,56666.666666666664,3,1,4,1.0,,9.0,0,Reinforced Concrete,New,Central,Natural Gas,2.0,Unfurnished,Vacant,False,,1350.0,"South, East",Eligible,Condominium Title,Yes,,2026-03-17 13:54:27
162729-9,satilik,Pendik,Yenişehir,15300000,170.0,129.0,90000.0,2,1,3,-1.0,Garden Floor,8.0,9,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,1.0,Unfurnished,Vacant,True,Siltaş Novapark Sitesi,6450.0,"East, West",Eligible,Condominium Title,No,,2026-03-17 13:54:35
109495-2387,satilik,Pendik,Doğu,11500000,125.0,100.0,92000.0,3,1,4,1.0,,14.0,8,Reinforced Concrete,Second-hand,Central (Metered),Natural Gas,2.0,Unfurnished,Vacant,True,,5250.0,"North, South, East",Eligible,Condominium Title,No,,2026-03-17 13:54:44
143828-131,satilik,Pendik,Esenler,5500000,160.0,140.0,34375.0,4,2,6,0.0,Raised Ground,4.0,12,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,2.0,Unfurnished,Tenant-occupied,False,,,,Not Eligible,Condominium Title,,,2026-03-17 13:54:52
132421-29,satilik,Pendik,Kurtköy,6300000,90.0,75.0,70000.0,2,1,3,2.0,,8.0,6,,,Combi Boiler,,1.0,Unfurnished,Tenant-occupied,False,,600.0,South,Eligible,Condominium Title,No,,2026-03-17 13:55:02
