sub_district,count,avg_price,median_price,avg_ppm2,avg_gross_m2,avg_net_m2
Yalı,49,12054061.224489795,11950000,89419.38888662776,136.71428571428572,112.87755102040816
Türkali,42,13805690.476190476,11875000,125761.01785153704,108.35714285714286,92.23809523809524
Topçular,4,13112500,11850000,99866.36098505685,147.25,108.25
Seyitnizam,22,15429545.454545455,11750000,90017.30511005921,161.8181818181818,136.45454545454547
Kavacık,16,11868750,11375000,81310.99636570667,143.875,125.0625
Bahçeşehir 1. Kısım,83,12896566.26506024,11250000,73785.8872336785,172.20481927710844,134.50602409638554
Cami,21,12503571.42857143,11250000,90129.8522537446,137.52380952380952,115.61904761904762
Yamanevler,35,14261428.57142857,11250000,109036.25252027312,121.57142857142857,92.14285714285714
Beyazıt,1,11200000,11200000,80000,140,130
Finanskent,12,14712500,11175000,133264.94929352702,107.66666666666667,84.41666666666667
Mithatpaşa,34,13198411.735294119,11125000,109492.78415730828,122.41176470588235,100.73529411764706
Ferah,41,10891219.512195121,11000000,87536.28782233654,129.02439024390245,108.3170731707317
Piri Paşa,9,10173888.888888888,11000000,66777.35937445344,151.55555555555554,137.44444444444446
İstinye,7,14585714.285714285,11000000,136585.9863719499,105,81.42857142857143
Batı,47,15185106.382978724,10950000,101798.6615089035,142.5531914893617,119.40425531914893
Doğu,47,11575617.021276595,10940000,83328.63035921211,136.80851063829786,110.97872340425532
Kanlıca,6,16925000,10925000,113498.644915979,143.33333333333334,124.16666666666667
Nişantepe,22,12145454.545454545,10850000,93949.54330214148,124.0909090909091,92.63636363636364
Başakşehir,66,11869378.787878787,10750000,76565.94995111071,155.57575757575756,127.5909090909091
Tomtom,1,10750000,10750000,143333.33333333334,75,65
Levent,2,10700000,10700000,125606.06060606061,87.5,80
Tokatköy,3,14050000,10650000,71856.06060606061,243.33333333333334,208.33333333333334
Petroliş,41,10622536.585365854,10600000,77950.06489432792,142.02439024390245,118.09756097560975
Atalar,55,12596363.636363637,10500000,93933.25853666045,128.16363636363636,104.23636363636363
Aziz Mahmut Hüdayi,29,12158448.27586207,10500000,104595.27718825387,115.58620689655173,98.20689655172414
Osmaniye,19,11673684.210526315,10500000,86042.64617670624,135.42105263157896,106.26315789473684
Postane,50,11896100,10500000,82754.40584072287,152.58,124.54
Salacak,31,14562096.774193548,10500000,119692.85699763904,112.09677419354838,96.61290322580645
Küplüce,8,14218750,10400000,114931.51601132151,116.25,99.625
Mehmet Nesih Özmen,10,10610000,10375000,80361.5035089173,133.7,115.3
Gülsuyu,3,9283350,10000050,68588.29573934837,133.33333333333334,113.33333333333333
Düğmeciler,11,11621363.636363637,10000000,83022.55073155965,134.54545454545453,107.72727272727273
Ömer Avni,9,16000000,10000000,124262.3234961965,133.33333333333334,122.55555555555556
Heybeliada,16,9815625,9900000,93453.42146740251,113.75,96.375
İsmet Paşa,6,9114166.666666666,9900000,70926.38303319497,143.83333333333334,125.33333333333333
19 Mayıs,83,10430108.43373494,9850000,91125.7264706442,117.28915662650603,99.144578313253
Murat Reis,25,9683000,9750000,104006.61032147383,100.08,89.16
İdealtepe,188,11208111.696808511,9750000,100720.49899561993,115.21808510638297,97.33510638297872
Ünalan,59,12145084.745762711,9600000,103128.38141776409,119.13559322033899,99.0677966101695
Tatlısu,36,10218722.222222222,9575000,86130.898806872,119.13888888888889,97.77777777777777
Meşrutiyet,52,12716346.153846154,9525000,92274.74530018611,133.01923076923077,113
Sümer,51,11190098.039215686,9500000,89528.99666142519,122.11764705882354,100.15686274509804
Şerifali,15,10059333.333333334,9500000,87428.56049185262,122.4,99.13333333333334
Aşağı Dudullu,13,10095384.615384616,9400000,73845.75972835082,139.6153846153846,120.61538461538461
Kalenderhane,1,9400000,9400000,110588.23529411765,85,80
Kocatepe,15,11406600,9400000,82780.83701938916,130.53333333333333,118.93333333333334
Tozkoparan,18,9113888.888888888,9375000,84209.2469677905,109.88888888888889,93.94444444444444
Alkent 2000,7,10992857.142857144,9350000,74103.90333770304,152.57142857142858,122.28571428571429
Küçükyalı,169,10693343.189349113,9350000,98239.95223213627,112.14792899408285,95.4319526627219
Emek,23,8881304.347826088,9250000,65499.85377250145,139.91304347826087,111.17391304347827
Küçükbakkalköy,41,10708170.731707318,9250000,97071.51677796221,109.07317073170732,89.34146341463415
Zeytinlik,8,11978750,9190000,72072.65436769114,159.75,140.625
Cihannüma,20,10645000,9125000,93135.58207303699,115.05,94.65
Kemal Paşa,1,9100000,9100000,91000,100,89
Altayçeşme,53,9258207.547169812,8950000,78878.44791015229,126.84905660377359,109.05660377358491
Altıntepe,259,9572293.436293436,8950000,94292.69416842678,103.68725868725869,87.47876447876448
Feyzullah,49,10275489.795918368,8950000,96395.81850455618,110.28571428571429,93.12244897959184
Harmandere,16,9858312.5,8871500,78526.86428727805,135.0625,109.6875
Fetih,17,10257882.352941176,8850000,74073.55343222665,142.47058823529412,122.47058823529412
Girne,22,8797227.272727273,8845000,71210.74745596199,131.4090909090909,104.81818181818181
Firuzağa,11,8609090.909090908,8800000,104855.13954413476,91.0909090909091,78.18181818181819
Osmanağa,13,11288461.538461538,8800000,115080.34650521149,94.38461538461539,77.92307692307692
Fulya,70,10607142.857142856,8775000,85209.7934117661,123.02857142857142,105.11428571428571
Başak,35,12228142.82857143,8750000,81323.53931743948,142.25714285714287,116.51428571428572
Maltepe,24,12949995.833333334,8750000,115355.27820527377,108.375,74.04166666666667
Veliefendi,45,9069222.222222222,8750000,86034.45912368667,109.4888888888889,90.04444444444445
Yenibosna Merkez,45,9252399.977777777,8750000,72914.4280624626,132.53333333333333,107.73333333333333
Kayabaşı,151,10556940.397350993,8745000,79271.97066513823,130.64900662251657,102.63576158940397
Abbasağa,34,15276176.470588235,8650000,161018.3106011626,91.38235294117646,75.55882352941177
Eğitim,20,9023050,8625000,87413.13370118517,108.05,87.85
Yenişehir,92,10344347.826086957,8525000,83781.76437811599,121.02173913043478,99.72826086956522
Bulgurlu,143,9406951.048951048,8500000,84415.56775483511,117.3076923076923,100.00699300699301
Dumlupınar,62,9342161.274193548,8500000,84345.01194802778,110.90322580645162,86.51612903225806
Katip Mustafa Çelebi,1,8500000,8500000,94444.44444444444,90,80
Orhantepe,44,9202727.272727273,8500000,84385.88140627644,117.45454545454545,99.63636363636364
Çamlıbahçe,1,8500000,8500000,60714.28571428572,140,120
İnkılap,12,9922916.666666666,8462500,83931.86078272396,119.33333333333333,98.16666666666667
Molla Fenari,1,8400000,8400000,46666.666666666664,180,170
Abdurrahman Nafiz Gürman,14,9560714.285714285,8375000,75345.51365235288,129.42857142857142,112.14285714285714
Evliya Çelebi,14,8705357.142857144,8375000,71682.90902204698,139.92857142857142,115.78571428571429
Rasimpaşa,14,7653571.428571428,8325000,78126.42077012378,95.71428571428571,80.35714285714286
Atakent,103,10637339.805825243,8250000,87501.38336607796,119.54368932038835,99.27184466019418
Duatepe,23,8156521.739130435,8200000,71044.19612009895,111.43478260869566,98.91304347826087
Taşdelen,27,8548851.851851853,8200000,71373.32262018767,119.96296296296296,100.55555555555556
Mareşal Fevzi Çakmak,2,8150000,8150000,60370.37037037037,135,125
Mimaroba,26,9778500,8050000,52604.96459642954,186.73076923076923,155.30769230769232
Yeni Sahra,3,9366666.666666666,8050000,80307.23905723906,126,109
Kısıklı,10,11365000,8000000,77320.87830213246,150.2,127.6
Muradiye,17,10270588.235294119,8000000,106761.31812657515,93.3529411764706,79.17647058823529
Çavuşoğlu,19,10070947.368421054,8000000,87554.7081528649,118.57894736842105,98.26315789473684
Çınar,125,10108959.992,8000000,90523.0247218631,112.888,96
İkitelli OSB,1,8000000,8000000,73394.49541284403,109,85
İstasyon,111,9641792.783783784,7990000,71215.15541576635,134.32432432432432,110.91891891891892
Esenevler,43,8477674.418604651,7900000,76118.29746252207,112.74418604651163,96.30232558139535
Selimiye,14,11074928.57142857,7875000,104040.62505479579,109.21428571428571,93.21428571428571
Ekşioğlu,21,7242428.476190476,7850000,58972.37173441869,123.57142857142857,105.76190476190476
Bozkurt,45,9162555.555555556,7800000,75072.81677536025,120.04444444444445,104.66666666666667
Reşitpaşa,8,12868750,7800000,86404.57673453997,139.375,124.75
Çınardere,63,8852841.26984127,7800000,77420.88194133609,117.39682539682539,89.61904761904762
Güzeltepe,66,12177803.030303031,7725000,81854.76426403687,141.54545454545453,117.57575757575758
Elmalıkent,7,7578571.428571428,7700000,77489.03483413917,102.14285714285714,86.57142857142857
Seyrantepe,52,9679807.673076924,7700000,89716.86349344673,109.42307692307692,91
Tahtakale,123,8160674.756097561,7700000,58664.271892323355,140.8617886178862,109.90243902439025
Ergenekon,21,10078571.42857143,7600000,71126.99027253702,138.38095238095238,121.33333333333333
Yayla,68,8080132.352941177,7542500,65645.14287488688,126.3970588235294,106.8529411764706
15 Temmuz,106,7444398.20754717,7500000,69934.24774548308,106.33018867924528,83.79245283018868
Bahçeköy Kemer,2,7500000,7500000,53589.74358974359,140,125
Güven,18,7563888.888888889,7500000,60335.70459015898,131.27777777777777,118.16666666666667
Karlıktepe,43,9260697.674418604,7500000,77828.3146317542,121.02325581395348,100.44186046511628
Nuripaşa,16,8162499.9375,7500000,66746.85907742624,128.3125,105.625
Sapan Bağları,13,7469230.769230769,7500000,71117.13980463981,109.23076923076923,91.6923076923077
Soğanlık Yeni,15,8811333.333333334,7500000,85837.09164261083,103.8,81.53333333333333
Yeşilbağlar,7,7492714.285714285,7500000,76544.13564404815,111,93.14285714285714
Yeşilpınar,54,7395444.444444444,7500000,58744.0328248954,131.88888888888889,112.64814814814815
Alibeyköy,25,7785600,7490000,74678.06261540938,104.6,88.96
Cevizli,92,8212271.739130435,7450000,80787.2708045847,106.46739130434783,87.26086956521739
Site,25,8802400,7450000,72374.99055323304,121.56,103.12
Gümüşsuyu,14,10250000,7400000,110350.90479613666,92.35714285714286,78.28571428571429
Demirkapı,19,7289473.684210527,7300000,55890.652812858374,133.31578947368422,112.78947368421052
Cennet,135,7781000,7250000,61017.37231308553,134.17037037037036,117.91851851851852
Karamandere,1,7250000,7250000,17427.884615384617,416,90
Kartaltepe,74,8287094.594594595,7250000,66235.641749188,126.62162162162163,111.22972972972973
Kirazlı,37,6929534.513513514,7250000,59167.47985802768,118.62162162162163,92.94594594594595
Küçük Piyale,7,7502857.142857143,7250000,65571.78887872318,117.42857142857143,107.14285714285714
Yakacık Yeni,36,9131500,7200000,79202.39662256754,113.66666666666667,90.52777777777777
Yakacık Çarşı,27,7997407.407407408,7200000,74707.9217972095,107.88888888888889,92.33333333333333
Armağanevler,69,7023115.942028985,7190000,67749.389852854,106.3768115942029,90.72463768115942
Güneşli,23,7539782.608695652,7190000,58399.741987265115,134.30434782608697,115.52173913043478
Bahçeköy Yeni,10,7520000,7175000,57560.12506012506,132,116.5
Yıldırım,42,8674857.142857144,7150000,69614.65969665593,126.19047619047619,111.38095238095238
Sinanoba,16,8436874.9375,7100000,48698.67571098198,171.5,150.75
Çatalmeşe,38,7182763.157894737,7087500,58020.93863955302,126.28947368421052,108.89473684210526
Atatürk,334,8813263.464071857,7000000,65679.74979499653,137.09580838323353,115.5
Bağlar,27,7447592.592592592,7000000,68028.87446996725,115.33333333333333,88.14814814814815
